czone,china_exposure,working_age_25_64_cz,pop2000_cz,gpt_exposure,china_above_average_mass,gpt_above_average_mass,china_exposure_z,gpt_exposure_z,china_pctile,gpt_pctile,adult25p_1990,hs_less_1990,ba_plus_1990,hs_less_share_1990,ba_share_1990,adult25p_2024,hs_less_2024,ba_plus_2024,hs_less_share_2024,ba_share_2024
2300,0.042087039613222,126220.0,228616,0.3329523270320513,2670.338184811922,0.0,1.0833062026201123,0.4438181991763451,0.9029126213592233,0.7115117891816921,134195,84553,21096,0.6300756362010507,0.15720406870598755,178570,70908,55520,0.3970879767038136,0.31091448731589855
2400,0.0174347773800374,712957.0,1040192,0.3594706671995179,0.0,9485.615203643252,-0.14229481682827388,1.7513362164074473,0.5423023578363384,0.9542302357836339,589806,307462,137020,0.5212934422505027,0.23231367602228528,937280,300023,385316,0.320099650051212,0.411100204848071
2500,0.0070344465854895,316839.0,570854,0.3446254714185104,0.0,0.0,-0.6593530853079907,1.0193763414525436,0.27184466019417475,0.8515950069348127,316582,162214,63232,0.5123917342110417,0.19973340240443235,435464,148156,151513,0.3402255984421215,0.3479346168684438
2600,0.0291308221741279,58620.0,139055,0.3263134589641056,480.684194896622,0.0,0.43918059859446484,0.11648098432650104,0.7766990291262136,0.5755894590846047,85052,63928,7540,0.7516342943140667,0.08865164840332973,85867,45935,14385,0.5349552214471217,0.16752652357716002
2700,0.009591641529084,264789.0,458674,0.3199396738440923,0.0,0.0,-0.5322207069423721,-0.19778600334119076,0.3550624133148405,0.44244105409153955,236107,138876,33925,0.5881909473247299,0.14368485474805914,355656,145791,87862,0.4099213847088198,0.24704208561081495
2800,0.0372991065631573,55604.0,120505,0.3104868327009151,910.1422700367781,0.0,0.8452714303260374,-0.6638694772944694,0.8571428571428571,0.22330097087378642,70068,48111,7497,0.6866329851001884,0.10699606096934407,77400,37689,13955,0.486937984496124,0.180297157622739
2900,0.0162692911222901,90993.0,157181,0.3409432793633212,0.0,0.0,-0.2002376186748876,0.8378215222345705,0.49930651872399445,0.8072122052704577,81285,49719,13492,0.6116626683890016,0.16598388386541182,119971,46797,33971,0.390069266739462,0.28316009702344735
3001,0.0575134356620674,15976.0,41270,0.3473366787160309,584.4438861994666,18.70185768077836,1.8502381192548931,1.1530556127632547,0.955617198335645,0.8779472954230236,23364,17414,2309,0.7453347029618216,0.09882725560691663,22103,11454,3761,0.518210197710718,0.17015789711803828
3002,0.0340630254649522,16823.0,39355,0.3418491103472179,220.92311189374243,0.0,0.6843878466831956,0.8824845865339013,0.8224687933425797,0.8196948682385575,21581,15447,2477,0.7157685000695055,0.11477688707659515,22001,12249,3577,0.5567474205717922,0.16258351893095768
3003,0.013002943694071,300271.0,546560,0.3395094167333431,0.0,0.0,-0.3626259098601547,0.7671232352719964,0.42579750346740636,0.79750346740638,297570,155894,65597,0.5238901771011862,0.22044224888261585,398120,139814,130568,0.35118557218928964,0.32796141866773837
3101,0.0261312321071233,47274.0,103602,0.3207344190653467,245.84433634647624,0.0,0.29005429897643653,-0.15860015349779244,0.7267683772538142,0.4563106796116505,60115,43172,6234,0.7181568660068203,0.10370123929135823,66877,35533,9004,0.5313186895345186,0.13463522586240412
3102,0.0158814911141909,23539.0,46424,0.3412857798556726,0.0,0.0,-0.21951731320242196,0.8547089126908325,0.4909847434119279,0.812760055478502,26659,18355,2912,0.6885104467534416,0.10923140402865823,32044,16060,5698,0.5011858694295344,0.17781800024965672
3201,0.0099985307944709,12019.0,25202,0.3121781884687953,0.0,0.0,-0.5119919793009182,-0.580475187678854,0.3633841886269071,0.26629680998613037,15488,12225,1280,0.78932076446281,0.08264462809917356,16138,10009,2286,0.6202131614822158,0.14165324079811625
3202,0.0137815765855529,27907.0,69653,0.3244978315948759,0.0,0.0,-0.32391573971229376,0.026959336936285945,0.44105409153952846,0.5353675450762829,44505,30518,5351,0.6857207055387036,0.120233681608808,40490,20989,7665,0.5183749073845394,0.18930600148184737
3203,0.0212216833253906,32824.0,84943,0.3529727632598675,9.547335560516045,223.42333684567666,0.04597333249120058,1.4309494040475554,0.6407766990291263,0.9195561719833565,46464,28678,7595,0.6172090220385675,0.16345988292011018,45738,20583,10947,0.45001967729240455,0.2393414666141939
