czone,china_exposure
25105,0.010294518384267981
25200,0.019093518135558207
25300,0.0698510102036527
25401,0.013555337484610068
25402,0.12794311355516497
25500,0.01595045824813901
25601,0.01737454469251488
25602,0.00988937453963823
25701,0.05129733718748486
25702,0.028416648345269024
25800,0.05498845606380964
25900,0.08528351733551975
26001,0.02086645624325062
26002,0.009502883056916558
26003,0.0014769576582693844
26004,0.02098692254620982
26101,0.020834718823065757
26102,0.02518992871437062
26103,0.01937356987305172
26104,0.004454625278579871
26105,0.0015457789416624124
26106,0.014369789146209122
26107,0.03574290598292218
26201,0.0014338052564755732
26202,0.002209669356243893
26203,0.0015227232352599263
26204,1.731054375397889e-07
26301,0.022687245652842858
26302,0.0018717986062295466
26303,0.019358311715868187
26304,0.0010905463963268858
26305,0.0004240935961743464
26401,0.0001347201770123263
26402,0.00020363778914145314
26403,0.0026052010960899707
26404,0.016627226468751255
26405,0.00012603964362778441
26406,0.03709896638595023
26407,8.98767460455474e-08
26408,0.0008543036589152564
26409,0.0012659156977603558
26410,0.006202479562364971
26411,0.0033051180258696355
26412,0.0009231919370060737
26501,0.01938964101051366
26502,0.007459686089683615
26503,0.014158065775034201
26504,0.018587393073864145
26601,0.01231631583214332
26602,0.038245854094977716
26603,5.5273438714920076e-08
26604,4.6967177480539135e-08
26605,0.006862873760538915
26701,0.012566652441760695
26702,0.0012009261552221595
26703,0.008541654781855701
26704,0.004534678233242051
26801,0.006022799251141679
26802,0.012601386386427826
26803,0.003595325577669936
26804,0.024453775007842182
26901,0.00824867194571021
26902,0.01953863050154192
27001,0.0002996921859370616
27002,0.0012649831925792832
27003,0.01530839518670346
27004,0.00140897322722644
27005,0.02034727775558709
27006,0.02089597154444673
27007,0.006076812797791875
27008,0.005569060744804233
27009,0.0005012056659186026
27010,0.00019157547733916758
27011,0.00045527147651780453
27012,0.00027243949477195883
27101,0.016103759199397223
27102,0.007830695203792093
27201,0.040788845280211206
27202,0.00466893056690032
27301,0.02221059751426794
27302,0.029033352757401654
27401,0.0072209028349762006
27402,0.016606132825602526
27501,0.007470916948777818
27502,0.02993420336959679
27503,0.01778400404022662
27504,0.005576608766053814
27601,0.010371222614113494
27602,0.0008140126558742189
27603,0.004897950909251671
27604,8.536778477719054e-05
27605,1.4162965911168612e-08
27701,0.006416560461070642
27702,0.004928940861872455
27703,0.0017193845373011385
27704,0.0022381543783380753
27801,0.008178022654798944
27802,0.02126656817799588
27901,0.008616815842093173
27902,0.002835809026380254
27903,0.00737571325228098
28001,0.0164587353216028
28002,0.002412515489496503
28101,0.015237329580707337
28102,0.01648867905850171
28201,0.01950764803699897
28202,0.009668566655752386
28301,0.001917370069884683
28302,0.0055783857742923715
28303,0.030582333749396895
28304,0.0002908146652877974
28305,0.006869237394346861
28306,0.002775360804053495
28401,0.025369703012477183
28402,3.0255364642073346e-05
28501,0.00016586118058548038
28502,0.018911845766587998
28503,0.0022765855335755703
28504,0.001900512076019989
28601,0.0036490012880570077
28602,0.009264980110725407
28603,0.0056620573938088725
28604,0.0010920524936075537
28605,0.000535307884046432
28606,1.8554402902992706e-08
28607,0.006760216412018849
28608,0.01147834585147145
28609,0.011800283721507765
28701,0.026126662779484278
28702,0.0008454776852220673
28703,0.0042637348058907065
28704,0.003670828083359723
28800,0.026421707642692624
28900,0.015427259080842248
29001,0.0028303179385562593
29002,0.003063939509424074
29003,0.003362294291568424
29004,0.0235033321728082
29005,0.008190902408992562
29006,0.004816672415178025
29007,0.0018817353875881793
29008,0.00016375112120492474
29101,0.016375411723262623
29102,0.003101087810081893
29103,0.0050320446463034685
29104,0.014533517383029437
29201,0.02248344607717323
29202,0.0049825968549971345
29203,0.00518975376878128
29204,0.013371206127089363
29301,0.016197951646437975
29302,0.012792341619849878
29303,0.015056932090422581
29401,0.020033343390271297
29402,0.06060601627558437
29403,0.02439934635750124
29501,0.011516064810246363
29502,0.011268921587879113
29503,0.0168072246111457
29504,0.034740410693808704
29505,0.014536563366918331
29506,0.023611054540982224
29601,0.01419152861091355
29602,0.044179292020132266
29700,0.033129445285720475
29800,0.04569426315502989
29901,0.04028016972627457
29902,0.05939196265499014
30000,0.032890190618412585
30100,0.03457415967763208
30200,0.018318631042776066
30300,0.02583227394708454
30401,0.013748079394863222
30402,0.02121550547044595
30403,0.008092173044483175
30501,0.00921331908605083
30502,0.008980881598030031
30601,0.0285741366866
30602,0.010017397126074246
30603,2.6685955159422292e-05
30604,0.0005403655199477872
30605,0.004695084085903467
30701,0.004534693440474469
30702,0.0001184552495914204
30801,0.0032968522952434576
30802,0.005777904250053869
30901,0.008299583436818914
30902,0.0025481902011490476
30903,0.004358646539476152
30904,0.02616714022401556
30905,0.002684791721499824
30906,0.008790114002048988
30907,0.017300589556894508
30908,0.0024554607282444296
31001,0.0015561988317658315
31002,0.0007271601548701767
31003,0.0008667040346370669
31004,0.005347803587451239
31005,0.0019633210835051512
31006,0.0017259924148300548
31007,0.00118759964757853
31101,0.017244551923969828
31102,0.011162032532834765
31103,0.01630179287369593
31201,0.03041520067208201
31202,0.028113767284634328
31301,0.01464340065514394
31302,0.003050741752338215
31303,0.007708984496592297
31304,2.7943491964776968e-08
31401,0.011452188879211202
31402,0.00013749303809396096
31403,0.00016176011828195058
31404,0.0002856712579681897
31501,0.00679568410037934
31502,0.011297061492816951
31503,0.0076476065692450135
31600,0.01664370592015816
31700,0.005523901640939199
31800,0.009504155596999853
31900,0.009281759578033677
32000,0.017455903661054893
32100,0.006938460150030967
32201,0.025658472302448714
32202,0.01819750259397168
32301,0.005991230087044164
32302,0.018654617633556914
32303,0.007183279283601962
32304,0.002849353573574298
32305,0.016491824203807237
32306,0.02141808863309458
32401,0.0024803376836670665
32402,0.0050870670185547695
32403,0.002193796030123263
32501,0.004429920468290551
32502,3.451931449660606e-05
32503,1.3808335368459268e-05
32601,0.021931087399710725
32602,0.013335817923307847
32603,0.002358335524940358
32604,0.00727244267229743
32701,0.03994147992731456
32702,0.014349644797389816
32801,0.014405727788545597
32802,0.013589703455731517
32900,0.019364993467315017
33000,0.018732345374619645
33100,0.022746566114063484
33200,0.016604468764614494
33300,0.017566576453968308
33400,0.01966299382865158
33500,0.015424118594632413
33601,0.03867180153387245
33602,0.010452821015110914
33603,0.03996763438850895
33700,0.03473536546559028
33801,0.012662062638134658
33802,0.01629494496846018
33803,0.016996274354178952
33901,0.015595857177330252
33902,0.021112681372849884
34001,0.03503118533583782
34002,0.009854533992568415
34201,0.0005528541456747416
34202,0.0034076981011512686
34203,0.0038364123419916962
34204,0.00030399190669389703
34301,0.00287878987395139
34302,0.0011396112584316498
34303,0.019421618936862117
34304,0.0006010086350638488
34305,0.0023664729635615167
34306,0.0001697405823506415
34307,0.0009785764155402221
34308,0.00381059290860957
34309,0.000852030508806223
34401,0.00046697110045235135
34402,0.008061190117804873
34403,0.0013138932412481985
34404,0.0019285288772789488
34501,0.00733179131153561
34502,0.0014603125034540199
34503,0.008689363605146097
34504,0.008904826716024215
34601,0.0006045796261120451
34602,0.00038525656958499077
34603,0.005058859214277844
34604,0.0035962990405096207
34801,0.001687521068298281
34802,0.006313343038853281
34803,0.0003088420903587519
34804,0.003524501765983956
34805,0.002510628605678633
34901,0.013168361097447307
34902,0.021873826081971415
35001,0.01801945340833353
35002,0.0010554649606566713
35100,0.012224403972296707
35201,0.007364508424642594
35202,0.0008077877240408951
35300,0.0063804648751149
35401,0.008782067112526937
35402,0.024860572061839115
35500,0.0026170893306582954
35701,0.006223912879594659
35702,0.014281979255098776
35801,0.02630297228226136
35802,0.011185123287509313
35803,0.0018637541310910777
35901,0.016787414168364934
35902,0.007501481564945921
35903,0.0014923505762851619
35904,0.005286800088127208
35905,0.00011342751531628892
36000,0.02033434623859401
36100,0.015322794649199542
36200,0.03394619031694279
36301,0.006072710800515982
36302,0.006084760226010566
36303,0.003298050969081423
36401,0.0009051809184341675
36402,0.0006161737287606606
36403,0.005871970081697597
36404,0.0031375281634180574
36501,0.013907752514359328
36502,0.012155784683272941
36503,0.005810538789098985
36600,0.0059444155041247886
36700,0.006394109131959813
36800,0.01802373909997712
36901,0.0031456010863553097
36902,0.007767746151541299
37000,0.008137279939826797
37100,0.006789250746856226
37200,0.00883477444459807
37300,0.007404951218041855
37400,0.011250322374794751
37500,0.055757477142499984
37601,0.0008702683964791902
37602,0.00013823422710768085
37603,0.0015733897277444564
37604,0.009838976258669974
37700,0.01922014520395473
37800,0.014043091274060275
37901,0.004003510569953475
37902,0.0005865608055151128
37903,0.0012536288253839345
38000,0.01849448773543333
38100,0.008303421129501887
38200,0.018237001681289396
38300,0.022375904710280066
38401,0.006522842794268957
38402,0.00274256314766097
38501,0.0082942776320436
38502,0.003908950690606705
38601,0.01682852741919144
38602,0.00318805548177252
38700,0.00820827981155145
38801,0.021192091723972406
38802,0.012723349868868361
38901,0.015605001009560672
38902,0.008119423057812752
39000,0.01127630039936993
39100,0.012744840679704198
39201,0.0069341878298394555
39202,0.0029576563972144587
39203,0.008580223856349767
39204,0.00010064231431794468
39205,0.0024073948798575273
39301,0.010790353912426998
39302,0.011415976840523978
39303,0.004768326399685163
39400,0.015540730642405735
