unit_id,occupation,soc_pattern,gpt_exposure
630,Human resources workers,13-1070,0.6362380992565204
640,"Compensation, benefits, and job analysis specialists",13-1141,0.4736842105263157
650,Training and development specialists,13-1151,0.5526315789473684
700,Logisticians,13-1081,0.5278605318327264
705,Project management specialists,13-1082,0.55
710,Management analysts,13-1111,0.4047619047619047
725,"Meeting, convention, and event planners",13-1121,0.4864864864864865
726,Fundraisers,13-1131,0.5192307692307693
735,Market research analysts and marketing specialists,13-1161,0.5245901639344263
750,"Business operations specialists, all other",13-1199,0.5828407660281357
800,Accountants and auditors,13-2011,0.56
810,Property appraisers and assessors,13-2020,0.53125
820,Budget analysts,13-2031,0.52
830,Credit analysts,13-2041,0.5555555555555556
845,Financial and investment analysts,13-2051,0.4615384615384615
850,Personal financial advisors,13-2052,0.5
860,Insurance underwriters,13-2053,0.5714285714285714
900,Financial examiners,13-2061,0.5
910,Credit counselors and loan officers,13-2070,0.5941626650660264
930,"Tax examiners and collectors, and revenue agents",13-2081,0.5806451612903225
940,Tax preparers,13-2082,0.625
960,Other financial specialists,13-20XX,0.5475652073310062
1005,Computer and information research scientists,15-1221,0.6346153846153847
1006,Computer systems analysts,15-1211,0.6174242424242424
1007,Information security analysts,15-1212,0.6521739130434783
1010,Computer programmers,15-1251,0.95
1021,Software developers,15-1252,0.8684210526315789
1022,Software quality assurance analysts and testers,15-1253,0.8771929824561403
1031,Web developers,15-1254,0.9326923076923076
1032,Web and digital interface designers,15-1255,0.75
1050,Computer support specialists,15-1230,0.6151794658652512
1065,Database administrators and architects,15-124X,0.7468997263704851
1105,Network and computer systems administrators,15-1244,0.7297297297297298
1106,Computer network architects,15-1241,0.6352227393617021
1108,"Computer occupations, all other",15-1299,0.7357861863332168
1200,Actuaries,15-2011,0.5
1210,Mathematicians,15-2021,1.0
1220,Operations research analysts,15-2031,0.6290322580645161
1230,Statisticians,15-2041,0.7247368421052631
1240,Other mathematical science occupations,15-20XX,0.6684633780297723
1305,"Architects, except landscape and naval",17-1011,0.4883720930232558
1306,Landscape architects,17-1012,0.4210526315789473
1310,"Surveyors, cartographers, and photogrammetrists",17-1020,0.5119841127098322
1320,Aerospace engineers,17-2011,0.5714285714285714
1330,Agricultural engineers,17-2021,0.4259259259259259
1340,Bioengineers and biomedical engineers,17-2031,0.5897435897435898
1350,Chemical engineers,17-2041,0.4615384615384615
1360,Civil engineers,17-2051,0.48214285714285715
1400,Computer hardware engineers,17-2061,0.7272727272727273
1410,Electrical and electronics engineers,17-2070,0.5816860088947007
1420,Environmental engineers,17-2081,0.5555555555555556
1430,"Industrial engineers, including health and safety",17-2110,0.5511729678113995
1440,Marine engineers and naval architects,17-2121,0.4210526315789473
1450,Materials engineers,17-2131,0.4878048780487805
1460,Mechanical engineers,17-2141,0.5312935096519228
1500,"Mining and geological engineers, including mining safety engineers",17-2151,0.4814814814814814
1510,Nuclear engineers,17-2161,0.55
1520,Petroleum engineers,17-2171,0.5277777777777778
1530,"Engineers, all other",17-2199,0.5226496200276688
1541,Architectural and civil drafters,17-3011,0.54
1545,Other drafters,17-301X,0.534448632218845
1551,Electrical and electronic engineering technologists and technicians,17-3023,0.4056603773584905
1555,"Other engineering technologists and technicians, except drafters",17-302X,0.40997156866853757
1560,Surveying and mapping technicians,17-3031,0.5
1600,Agricultural and food scientists,19-1010,0.4360216656728284
1610,Biological scientists,19-1020,0.48910063490045375
1640,Conservation scientists and foresters,19-1030,0.41601878386479973
1650,Medical scientists,19-1040,0.5171576734076734
1660,"Life scientists, all other",19-1099,
1700,Astronomers and physicists,19-2010,0.7286931818181819
1710,Atmospheric and space scientists,19-2021,0.5652173913043478
1720,Chemists and materials scientists,19-2030,0.3893612565445026
1745,"Environmental scientists and specialists, including health",19-2041,0.5217162952137376
1750,"Geoscientists and hydrologists, except geographers",19-204X,0.5092384124168763
1760,"Physical scientists, all other",19-2099,0.4565217391304347
1800,Economists,19-3011,0.5526315789473684
1815,Survey researchers,19-3022,0.625
1821,Clinical and counseling psychologists,19-3033,0.3703703703703703
1822,School psychologists,19-3034,0.3918918918918919
1825,Other psychologists,19-303X,0.4034176177155629
1830,Sociologists,19-3041,0.5384615384615385
1840,Urban and regional planners,19-3051,0.4772727272727273
1860,Miscellaneous social scientists and related workers,19-3090,0.5031624979617461
1900,Agricultural and food science technicians,19-4010,0.3822191697191697
1910,Biological technicians,19-4021,0.4166666666666666
1920,Chemical technicians,19-4031,0.3928571428571428
1935,Environmental science and geoscience technicians,19-4040,0.44613198289581396
1940,Nuclear technicians,19-4051,0.18506493506493504
1950,Social science research assistants,19-4061,0.6666666666666667
1970,"Other life, physical, and social science technicians",19-40XX,0.4498547727485776
1980,Occupational health and safety specialists and technicians,19-5010,0.34550518925518925
2001,Substance abuse and behavioral disorder counselors,21-1011,0.2
2002,"Educational, guidance, and career counselors and advisors",21-1012,0.2894736842105263
2003,Marriage and family therapists,21-1013,0.1111111111111111
2004,Mental health counselors,21-1014,0.2549019607843137
2005,Rehabilitation counselors,21-1015,0.3548387096774194
2006,"Counselors, all other",21-1019,
2011,"Child, family, and school social workers",21-1021,0.2428571428571428
2012,Healthcare social workers,21-1022,0.34375
2013,Mental health and substance abuse social workers,21-1023,0.2708333333333333
2014,"Social workers, all other",21-1029,
2015,Probation officers and correctional treatment specialists,21-1092,0.3947368421052631
2016,Social and human service assistants,21-1093,0.3928571428571428
2025,Other community and social service specialists,21-109X,0.4008172426642289
2040,Clergy,21-2011,0.3333333333333333
2050,"Directors, religious activities and education",21-2021,0.4393939393939394
2060,"Religious workers, all other",21-2099,
2100,Lawyers,23-1011,0.425
2105,Judicial law clerks,23-1012,0.5172413793103449
2110,"Judges, magistrates, and other judicial workers",23-1020,0.4577922077922077
2145,Paralegals and legal assistants,23-2011,0.525
2170,"Title examiners, abstractors, and searchers",23-2093,0.5714285714285714
2180,"Legal support workers, all other",23-2099,
2205,Postsecondary teachers,25-1000,0.47750767479720985
2300,Preschool and kindergarten teachers,25-2010,0.22824965282466522
2310,Elementary and middle school teachers,25-2020,0.3222198903000127
2320,Secondary school teachers,25-2030,0.33333333333333326
2330,Special education teachers,25-2050,0.31502575266620203
2350,Tutors,25-3041,0.5428571428571428
2360,Other teachers and instructors,25-30XX,0.3952947071283468
2400,"Archivists, curators, and museum technicians",25-4010,0.3969681060506628
2435,Librarians and media collections specialists,25-4022,0.5350877192982456
2440,Library technicians,25-4031,0.5673076923076923
2545,Teaching assistants,25-9040,0.5303030303030303
2555,Other educational instruction and library workers,25-90XX,0.5030819864552194
2600,Artists and related workers,27-1010,0.4854039965247611
2631,Commercial and industrial designers,27-1021,0.4655172413793103
2632,Fashion designers,27-1022,0.390625
2633,Floral designers,27-1023,0.1999999999999999
2634,Graphic designers,27-1024,0.5
2635,Interior designers,27-1025,0.5
2636,Merchandise displayers and window trimmers,27-1026,0.3048780487804878
2640,Other designers,27-102X,0.4142798635780891
2700,Actors,27-2011,0.1875
2710,Producers and directors,27-2012,0.4695853791598472
2721,Athletes and sports competitors,27-2021,0.0
2722,Coaches and scouts,27-2022,0.3
2723,"Umpires, referees, and other sports officials",27-2023,0.3125
2740,Dancers and choreographers,27-2030,0.0890426880811496
2751,Music directors and composers,27-2041,0.7105263157894737
2752,Musicians and singers,27-2042,0.4081632653061224
2755,"Disc jockeys, except radio",27-2091,0.5263157894736842
2770,"Entertainers and performers, sports and related workers, all other",27-2099,
2805,Broadcast announcers and radio disc jockeys,27-3011,0.65
2810,"News analysts, reporters, and journalists",27-3023,0.65
2825,Public relations specialists,27-3031,0.5909090909090909
2830,Editors,27-3041,0.6470588235294118
2840,Technical writers,27-3042,0.7
2850,Writers and authors,27-3043,0.8771367521367521
2861,Interpreters and translators,27-3091,0.88
2862,Court reporters and simultaneous captioners,27-3092,0.9583333333333331
2865,"Media and communication workers, all other",27-3099,
2905,"Broadcast, sound, and lighting technicians",27-4010,0.42751881819729187
2910,Photographers,27-4021,0.3854166666666666
2920,"Television, video, and film camera operators and editors",27-4030,0.4806102324875791
2970,"Media and communication equipment workers, all other",27-4099,
3000,Chiropractors,29-1011,0.4545454545454546
3010,Dentists,29-1020,0.2418003440147799
3030,Dietitians and nutritionists,29-1031,0.5487804878048781
3040,Optometrists,29-1041,0.3
3050,Pharmacists,29-1051,0.4285714285714285
3065,Emergency medicine physicians,29-1214,0.4411764705882353
3070,Radiologists,29-1224,0.4888888888888889
3090,Other physicians,29-12XX,0.37244904438522547
3100,Surgeons,29-1240,0.37555139841566776
3110,Physician assistants,29-1071,0.2708333333333333
3120,Podiatrists,29-1081,0.2857142857142857
3140,Audiologists,29-1181,0.4545454545454546
3150,Occupational therapists,29-1122,0.2890151515151515
3160,Physical therapists,29-1123,0.1914893617021276
3200,Radiation therapists,29-1124,0.2804878048780488
3210,Recreational therapists,29-1125,0.3181818181818182
3220,Respiratory therapists,29-1126,0.2023809523809523
3230,Speech-language pathologists,29-1127,0.4512195121951219
3235,Exercise physiologists,29-1128,0.26
3245,"Therapists, all other",29-1129,0.3656028368794326
3250,Veterinarians,29-1131,0.2702702702702703
3255,Registered nurses,29-1141,0.38019000703729766
3256,Nurse anesthetists,29-1151,0.1666666666666666
3257,Nurse midwives,29-1161,0.3902439024390244
3258,Nurse practitioners,29-1171,0.4814814814814814
3261,Acupuncturists,29-1291,0.1666666666666666
3270,"Healthcare diagnosing or treating practitioners, all other",29-1299,0.4963942307692307
3300,Clinical laboratory technologists and technicians,29-2010,0.25429725985221674
3310,Dental hygienists,29-1292,0.1875
3321,Cardiovascular technologists and technicians,29-2031,0.3571428571428571
3322,Diagnostic medical sonographers,29-2032,0.3026315789473684
3323,Radiologic technologists and technicians,29-2034,0.3771929824561403
3324,Magnetic resonance imaging technologists,29-2035,0.3222222222222222
3330,Nuclear medicine technologists and medical dosimetrists,29-203X,0.351019567261535
3401,Emergency medical technicians,29-2042,0.2083333333333333
3402,Paramedics,29-2043,0.1538461538461538
3421,Pharmacy technicians,29-2052,0.4264705882352941
3422,Psychiatric technicians,29-2053,0.12
3423,Surgical technologists,29-2055,0.0666666666666666
3424,Veterinary technologists and technicians,29-2056,0.1639344262295082
3430,Dietetic technicians and ophthalmic medical technicians,29-205X,0.30058565369036955
3500,Licensed practical and licensed vocational nurses,29-2061,0.25
3515,Medical records specialists,29-2072,0.6176470588235294
3520,"Opticians, dispensing",29-2081,0.2857142857142857
3545,Miscellaneous health technologists and technicians,29-2090,0.3932168729906446
3550,Other healthcare practitioners and technical occupations,29-9000,0.3796725173736562
3601,Home health aides,31-1121,0.0769230769230769
3602,Personal care aides,31-1122,0.2222222222222222
3603,Nursing assistants,31-1131,0.1016949152542373
3605,Orderlies and psychiatric aides,31-113X,0.09869994806974124
3610,Occupational therapy assistants and aides,31-2010,0.26488954755028615
3620,Physical therapist assistants and aides,31-2020,0.1619653421053803
3630,Massage therapists,31-9011,0.074074074074074
3640,Dental assistants,31-9091,0.2666666666666666
3645,Medical assistants,31-9092,0.358974358974359
3646,Medical transcriptionists,31-9094,0.875
3647,Pharmacy aides,31-9095,0.38
3648,Veterinary assistants and laboratory animal caretakers,31-9096,0.2222222222222222
3649,Phlebotomists,31-9097,0.1829268292682926
3655,Other healthcare support workers,31-909X,0.31789399115084205
3700,First-line supervisors of correctional officers,33-1011,0.2826086956521739
3710,First-line supervisors of police and detectives,33-1012,0.3289473684210526
3720,First-line supervisors of firefighting and prevention workers,33-1021,0.4150943396226415
3725,First-line supervisors of security workers,33-1091,0.4047619047619047
3735,"First-line supervisors of protective service workers, all other",33-1099,
3740,Firefighters,33-2011,0.1403508771929824
3750,Fire inspectors,33-2020,0.27697497814685323
3801,Bailiffs,33-3011,0.0357142857142857
3802,Correctional officers and jailers,33-3012,0.2613636363636363
3820,Detectives and criminal investigators,33-3021,0.397410759175465
3830,Fish and game wardens,33-3031,0.2840909090909091
3840,Parking enforcement workers,33-3041,0.3205128205128205
3870,Police officers,33-3050,0.3507435599970149
3900,Animal control workers,33-9011,0.35
3910,Private detectives and investigators,33-9021,0.3888888888888888
3930,Security guards and gambling surveillance officers,33-9030,0.16885904589751644
3940,Crossing guards and flaggers,33-9091,0.1052631578947368
3945,Transportation security screeners,33-9093,0.26
3946,School bus monitors,33-9094,0.1666666666666666
3960,Other protective service workers,33-909X,0.1752779896832838
4000,Chefs and head cooks,35-1011,0.2619047619047618
4010,First-line supervisors of food preparation and serving workers,35-1012,0.5111111111111112
4020,Cooks,35-2010,0.07284472881337925
4030,Food preparation workers,35-2021,0.037037037037037
4040,Bartenders,35-3011,0.1944444444444444
4055,Fast food and counter workers,35-3023,0.0970394736842105
4110,Waiters and waitresses,35-3031,0.183673469387755
4120,"Food servers, nonrestaurant",35-3041,0.1296296296296296
4130,Dining room and cafeteria attendants and bartender helpers,35-9011,0.0
4140,Dishwashers,35-9021,0.0
4150,"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,0.2285714285714285
4160,"Food preparation and serving related workers, all other",35-9099,
4200,First-line supervisors of housekeeping and janitorial workers,37-1011,0.2653061224489795
4210,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,0.3545454545454545
4220,Janitors and building cleaners,37-201X,0.0
4230,Maids and housekeeping cleaners,37-2012,0.0
4240,Pest control workers,37-2021,0.25
4251,Landscaping and groundskeeping workers,37-3011,0.024390243902439
4252,Tree trimmers and pruners,37-3013,0.0609756097560975
4255,Other grounds maintenance workers,37-301X,0.026824555018284523
4330,Supervisors of personal care and service workers,39-1000,0.3974593883686835
4340,Animal trainers,39-2011,0.1034482758620689
4350,Animal caretakers,39-2021,0.2727272727272727
4400,Gambling services workers,39-3010,0.14648275329389876
4420,"Ushers, lobby attendants, and ticket takers",39-3031,0.1428571428571428
4435,Other entertainment attendants and related workers,39-30XX,0.18530317234497265
4461,"Embalmers, crematory operators, and funeral attendants",39-40XX,0.15783641125173842
4465,"Morticians, undertakers, and funeral arrangers",39-4031,0.1627906976744186
4500,Barbers,39-5011,0.1617647058823529
4510,"Hairdressers, hairstylists, and cosmetologists",39-5012,0.0789473684210526
4521,Manicurists and pedicurists,39-5092,0.0833333333333333
4522,Skincare specialists,39-5094,0.1969696969696969
4525,Other personal appearance workers,39-509X,0.1253041527431771
4530,"Baggage porters, bellhops, and concierges",39-6010,0.33412054820505527
4540,Tour and travel guides,39-7010,0.32461538461538464
4600,Childcare workers,39-9011,0.1414312039312039
4621,Exercise trainers and group fitness instructors,39-9031,0.0147058823529411
4622,Recreation workers,39-9032,0.238095238095238
4640,Residential advisors,39-9041,0.24
4655,"Personal care and service workers, all other",39-9099,
4700,First-line supervisors of retail sales workers,41-1011,0.4864864864864865
4710,First-line supervisors of non-retail sales workers,41-1012,0.537037037037037
4720,Cashiers,41-2010,0.20967619030902226
4740,Counter and rental clerks,41-2021,0.532258064516129
4750,Parts salespersons,41-2022,0.3428571428571428
4760,Retail salespersons,41-2031,0.3421052631578947
4800,Advertising sales agents,41-3011,0.5384615384615384
4810,Insurance sales agents,41-3021,0.5757575757575758
4820,"Securities, commodities, and financial services sales agents",41-3031,0.6057692307692308
4830,Travel agents,41-3041,0.5625
4840,"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,0.6333333333333333
4850,"Sales representatives, wholesale and manufacturing",41-4010,0.5976961778015077
4900,"Models, demonstrators, and product promoters",41-9010,0.13640488343631532
4920,Real estate brokers and sales agents,41-9020,0.45057074408117254
4930,Sales engineers,41-9031,0.5113636363636364
4940,Telemarketers,41-9041,0.8055555555555555
4950,"Door-to-door sales workers, news and street vendors, and related workers",41-9091,0.2608695652173913
4965,"Sales and related workers, all other",41-9099,
5000,First-line supervisors of office and administrative support workers,43-1011,0.4895833333333333
5010,"Switchboard operators, including answering service",43-2011,0.6290322580645161
5020,Telephone operators,43-2021,0.894736842105263
5040,"Communications equipment operators, all other",43-2099,
5100,Bill and account collectors,43-3011,0.6964285714285714
5110,Billing and posting clerks,43-3021,0.7738095238095237
5120,"Bookkeeping, accounting, and auditing clerks",43-3031,0.8023255813953488
5130,Gambling cage workers,43-3041,0.4193548387096774
5140,Payroll and timekeeping clerks,43-3051,0.8378378378378379
5150,Procurement clerks,43-3061,0.6142857142857142
5160,Tellers,43-3071,0.5416666666666666
5165,"Financial clerks, all other",43-3099,
5200,Brokerage clerks,43-4011,0.7666666666666666
5210,Correspondence clerks,43-4021,0.9642857142857142
5220,"Court, municipal, and license clerks",43-4031,0.7
5230,"Credit authorizers, checkers, and clerks",43-4041,0.65
5240,Customer service representatives,43-4051,0.5681818181818182
5250,"Eligibility interviewers, government programs",43-4061,0.68
5260,File clerks,43-4071,0.7941176470588235
5300,"Hotel, motel, and resort desk clerks",43-4081,0.5
5310,"Interviewers, except eligibility and loan",43-4111,0.6724137931034483
5320,"Library assistants, clerical",43-4121,0.5344827586206896
5330,Loan interviewers and clerks,43-4131,0.59375
5340,New accounts clerks,43-4141,0.56
5350,Order clerks,43-4151,0.7142857142857143
5360,"Human resources assistants, except payroll and timekeeping",43-4161,0.6206896551724138
5400,Receptionists and information clerks,43-4171,0.5333333333333333
5410,Reservation and transportation ticket agents and travel clerks,43-4181,0.4571428571428571
5420,"Information and record clerks, all other",43-4199,
5500,Cargo and freight agents,43-5011,0.5273013150371642
5510,Couriers and messengers,43-5021,0.3103448275862069
5521,Public safety telecommunicators,43-5031,0.65625
5522,"Dispatchers, except police, fire, and ambulance",43-5032,0.6739130434782609
5530,"Meter readers, utilities",43-5041,0.4374999999999999
5540,Postal service clerks,43-5051,0.3148148148148147
5550,Postal service mail carriers,43-5052,0.2307692307692307
5560,"Postal service mail sorters, processors, and processing machine operators",43-5053,0.1
5600,"Production, planning, and expediting clerks",43-5061,0.5961538461538461
5610,"Shipping, receiving, and inventory clerks",43-5071,0.5
5630,"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,0.293103448275862
5710,Executive secretaries and executive administrative assistants,43-6011,0.6486486486486487
5720,Legal secretaries and administrative assistants,43-6012,0.6956521739130435
5730,Medical secretaries and administrative assistants,43-6013,0.6666666666666666
5740,"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,0.6442307692307693
5810,Data entry keyers,43-9021,0.8928571428571428
5820,Word processors and typists,43-9022,0.7432432432432433
5830,Desktop publishers,43-9031,0.6451612903225806
5840,Insurance claims and policy processing clerks,43-9041,0.8333333333333333
5850,"Mail clerks and mail machine operators, except postal service",43-9051,0.2162162162162162
5860,"Office clerks, general",43-9061,0.5757575757575758
5900,"Office machine operators, except computer",43-9071,0.3970588235294117
5910,Proofreaders and copy markers,43-9081,0.975
5920,Statistical assistants,43-9111,0.8913043478260869
5940,"Office and administrative support workers, all other",43-9199,
6005,"First-line supervisors of farming, fishing, and forestry workers",45-1011,0.2807017543859649
6010,Agricultural inspectors,45-2011,0.2916666666666666
6020,Animal breeders,45-2021,0.1666666666666666
6040,"Graders and sorters, agricultural products",45-2041,0.1
6050,Miscellaneous agricultural workers,45-2090,0.10842157779295958
6115,Fishing and hunting workers,45-3031,0.043859649122807
6120,Forest and conservation workers,45-4011,0.0434782608695652
6130,Logging workers,45-4020,0.1687876168523498
6200,First-line supervisors of construction trades and extraction workers,47-1011,0.41666666666666663
6210,Boilermakers,47-2011,0.0303030303030303
6220,"Brickmasons, blockmasons, and stonemasons",47-2020,0.033062645011600875
6230,Carpenters,47-2031,0.1444444444444444
6240,"Carpet, floor, and tile installers and finishers",47-2040,0.05589349376114082
6250,"Cement masons, concrete finishers, and terrazzo workers",47-2050,0.0
6260,Construction laborers,47-2061,0.05
6305,Construction equipment operators,47-2070,0.04929080871982913
6330,"Drywall installers, ceiling tile installers, and tapers",47-2080,0.03619067677618641
6355,Electricians,47-2111,0.1463414634146341
6360,Glaziers,47-2121,0.0833333333333333
6400,Insulation workers,47-2130,0.048165632586997555
6410,Painters and paperhangers,47-2140,0.05694179354556708
6441,Pipelayers,47-2151,0.0357142857142857
6442,"Plumbers, pipefitters, and steamfitters",47-2152,0.0753161698283649
6460,Plasterers and stucco masons,47-2161,0.0769230769230769
6500,Reinforcing iron and rebar workers,47-2171,0.0714285714285714
6515,Roofers,47-2181,0.04
6520,Sheet metal workers,47-2211,0.0657894736842105
6530,Structural iron and steel workers,47-2221,0.0285714285714285
6540,Solar photovoltaic installers,47-2231,0.11
6600,"Helpers, construction trades",47-3010,0.009797287357674532
6660,Construction and building inspectors,47-4011,0.33410428931875524
6700,Elevator and escalator installers and repairers,47-4021,0.1842105263157894
6710,Fence erectors,47-4031,0.0512820512820512
6720,Hazardous materials removal workers,47-4041,0.0806451612903225
6730,Highway maintenance workers,47-4051,0.0161290322580645
6740,Rail-track laying and maintenance equipment operators,47-4061,0.0
6750,Septic tank servicers and sewer pipe cleaners,47-4071,0.078125
6765,Miscellaneous construction and related workers,47-4090,0.1208333333333333
6800,"Derrick, rotary drill, and service unit operators, oil and gas",47-5010,0.05180700619280889
6821,"Excavating and loading machine and dragline operators, surface mining",47-5022,0.0
6825,"Earth drillers, except oil and gas",47-5023,0.1363636363636363
6835,"Explosives workers, ordnance handling experts, and blasters",47-5032,0.1354166666666666
6850,Underground mining machine operators,47-5040,0.0063066614111154705
6920,"Roustabouts, oil and gas",47-5071,0.0
6950,Other extraction workers,47-50XX,0.03480664104933386
7000,"First-line supervisors of mechanics, installers, and repairers",49-1011,0.4102564102564102
7010,"Computer, automated teller, and office machine repairers",49-2011,0.3673469387755101
7020,Radio and telecommunications equipment installers and repairers,49-2020,0.2691678317234367
7030,Avionics technicians,49-2091,0.24
7040,"Electric motor, power tool, and related repairers",49-2092,0.1057692307692307
7050,"Electrical and electronics installers and repairers, transportation equipment",49-2093,0.24
7100,"Electrical and electronics repairers, industrial and utility",49-209X,0.22835378802484063
7110,"Electronic equipment installers and repairers, motor vehicles",49-2096,0.1666666666666666
7120,Audiovisual equipment installers and repairers,49-2097,0.238095238095238
7130,Security and fire alarm systems installers,49-2098,0.1666666666666666
7140,Aircraft mechanics and service technicians,49-3011,0.1343283582089552
7150,Automotive body and related repairers,49-3021,0.0425531914893617
7160,Automotive glass installers and repairers,49-3022,0.0
7200,Automotive service technicians and mechanics,49-3023,0.0818181818181818
7210,Bus and truck mechanics and diesel engine specialists,49-3031,0.0
7220,Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,0.10220789114216663
7240,Small engine mechanics,49-3050,0.11031628627782468
7260,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,0.017435560733726832
7300,Control and valve installers and repairers,49-9010,0.13297182449613457
7315,"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,0.1052631578947368
7320,Home appliance repairers,49-9031,0.1454545454545454
7330,Industrial and refractory machinery mechanics,49-904X,0.24031064999482846
7340,"Maintenance and repair workers, general",49-9071,0.1372549019607843
7350,"Maintenance workers, machinery",49-9043,0.1428571428571428
7360,Millwrights,49-9044,0.0217391304347826
7410,Electrical power-line installers and repairers,49-9051,0.0
7420,Telecommunications line installers and repairers,49-9052,0.03125
7430,Precision instrument and equipment repairers,49-9060,0.27676032392184313
7440,Wind turbine service technicians,49-9081,0.0434782608695652
7510,"Coin, vending, and amusement machine servicers and repairers",49-9091,0.3214285714285714
7520,Commercial divers,49-9092,0.0666666666666666
7540,Locksmiths and safe repairers,49-9094,0.08
7550,Manufactured building and mobile home installers,49-9095,0.0769230769230769
7560,Riggers,49-9096,0.0
7610,"Helpers--installation, maintenance, and repair workers",49-9098,0.0333333333333333
7640,"Other installation, maintenance, and repair workers",49-909X,0.1525225013123147
7700,First-line supervisors of production and operating workers,51-1011,0.4
7710,"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,0.025
7720,"Electrical, electronics, and electromechanical assemblers",51-2020,0.2222222222222222
7730,Engine and other machine assemblers,51-2031,0.0952380952380952
7740,Structural metal fabricators and fitters,51-2041,0.0227272727272727
7750,Other assemblers and fabricators,51-20XX,0.05631684464911504
7800,Bakers,51-3011,0.2647058823529412
7810,"Butchers and other meat, poultry, and fish processing workers",51-3020,0.05237537515555228
7830,"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,0.0666666666666666
7840,Food batchmakers,51-3092,0.1153846153846153
7850,Food cooking machine operators and tenders,51-3093,0.1290322580645161
7855,"Food processing workers, all other",51-3099,
7905,Computer numerically controlled tool operators and programmers,51-9160,0.3262710390874947
7925,"Forming machine setters, operators, and tenders, metal and plastic",51-4020,0.05870765572416014
7950,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,0.01
8000,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,0.064516129032258
8025,"Other machine tool setters, operators, and tenders, metal and plastic",51-403X,0.04529564457319716
8030,Machinists,51-4041,0.2346938775510204
8040,"Metal furnace operators, tenders, pourers, and casters",51-4050,0.08114856429463164
8060,"Model makers and patternmakers, metal and plastic",51-4060,0.15825151940158946
8100,"Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,0.07521650287048749
8130,Tool and die makers,51-4111,0.1875
8140,"Welding, soldering, and brazing workers",51-4120,0.08666318566560399
8225,Other metal workers and plastic workers,51-4XXX,0.10993421312108174
8250,Prepress technicians and workers,51-5111,0.4375
8255,Printing press operators,51-5112,0.2875
8256,Print binding and finishing workers,51-5113,0.0897435897435897
8300,Laundry and dry-cleaning workers,51-6011,0.05
8310,"Pressers, textile, garment, and related materials",51-6021,0.0104166666666666
8320,Sewing machine operators,51-6031,0.0813953488372093
8335,Shoe and leather workers,51-6040,0.06730479915751465
8350,"Tailors, dressmakers, and sewers",51-6050,0.08489304812834222
8365,"Textile machine setters, operators, and tenders",51-6060,0.12808029001074112
8450,Upholsterers,51-6093,0.1911764705882352
