czone,gpt_exposure,cz_total_emp
28607,0.3212571373014429,4353
28608,0.3258538884620027,23981
28609,0.3122911869971881,10522
28701,0.321481696671878,6516
28702,0.3037209893662144,80405
28703,0.28164669190517244,5614
28704,0.32724228071488626,8513
28800,0.3297511727417015,276380
28900,0.3725272522638553,1643579
29001,0.3185222172415073,3966
29002,0.32935652045468955,328
29003,0.3059196207207688,10979
29004,0.3376839902111668,11879
29005,0.3377864754342935,20930
29006,0.34235874481471884,12241
29007,0.3386668409653915,1370
29008,0.31688140470513004,959
29101,0.32854549120406656,3106
29102,0.34198889171236524,1920
29103,0.3425109083121835,2741
29104,0.34995609310274534,21287
29201,0.32118620268553516,5188
29202,0.32800818674307736,2581
29203,0.3508839078621285,44211
29204,0.3470966905095179,125559
29301,0.3448120501005187,263547
29302,0.3103889878676974,20664
29303,0.31522976158037425,9598
29401,0.3242100177139256,8816
29402,0.3336373603324833,10573
29403,0.3363972022491109,32448
29501,0.35394188633196133,20138
29502,0.3561519018878396,949655
29503,0.31352875297504845,40980
29504,0.32309267016854776,19857
29505,0.3293727398814431,6107
29506,0.30956355782007616,2582
29601,0.36189402673169047,145193
29602,0.28949830057801584,22299
29700,0.33628957416648175,189105
29800,0.2945338997866692,40937
29901,0.32204736938967937,83529
29902,0.3163343465577749,7916
30000,0.3121678820188491,28829
30100,0.3229174792124097,86298
30200,0.3262564066547949,28081
30300,0.3256542698223215,217601
30401,0.3049246489455693,20077
30402,0.3428642157791469,400596
30403,0.3480894734184992,5121
30501,0.30053875506780753,5878
30502,0.3142767956941108,18326
30601,0.33665291018421656,361522
30602,0.32138680392566277,18801
30603,0.3138284801365318,1172
30604,0.32989531280767037,11208
30605,0.3195701301586455,229
30701,0.31011819242462074,39210
30702,0.33123192697193393,712
30801,0.292684835766496,31189
30802,0.31838379778648274,130851
30901,0.3061281723961802,20436
30902,0.24748583453979411,3463
30903,0.3286950704963938,84473
30904,0.31232098970518796,8816
30905,0.2654359713247175,780
30906,0.2886512939589996,385
30907,0.2495596431194191,50
30908,0.2729714221582391,6373
31001,0.3068016851510764,15075
31002,0.3254199588669043,2140
31003,0.312630389677039,1726
31004,0.32708107786962765,6906
31005,0.2808858813416789,2549
31006,0.301339988102149,4563
31007,0.25960844367393543,7713
31101,0.30176246650677785,41552
31102,0.29261386686314805,9248
31103,0.28580002919158987,2930
31201,0.37835161553276264,1088749
31202,0.30737061937317045,12667
31301,0.3492368310657429,983966
31302,0.31041007475324073,7008
31303,0.30371734513220117,18834
31304,0.35815813260404167,349
31401,0.306960952835041,161052
