czone,gpt_exposure,cz_total_emp
31402,0.2781455199275544,8127
31403,0.2812747962072638,2737
31404,0.3299964922605876,2890
31501,0.3147345217197673,3339
31502,0.2793034617227859,3335
31503,0.34136612941615024,81423
31600,0.3375296773333237,391325
31700,0.325071531630913,179264
31800,0.32008220393745673,84623
31900,0.30090349777063286,110502
32000,0.34265070722070873,2827281
32100,0.31529051288922433,141889
32201,0.32824221218850486,41845
32202,0.3080817226768651,19206
32301,0.3310178171050771,39135
32302,0.31764631262238574,1795
32303,0.3339416940532152,223
32304,0.3120731979258842,5200
32305,0.3357739779233394,12321
32306,0.32856087362777936,11287
32401,0.3027039020060172,11204
32402,0.2969645020082925,3124
32403,0.29399423367497435,3864
32501,0.32807142640957065,60335
32502,0.3463122346168826,1326
32503,0.27959167689728864,1170
32601,0.3143509185895768,38235
32602,0.3298967081439728,4013
32603,0.2658437616667051,335
32604,0.2992880426822601,1861
32701,0.31614548618247207,9510
32702,0.29793408638077806,10943
32801,0.32341431154350275,111993
32802,0.3099688186399721,14874
32900,0.32693929247191544,129140
33000,0.33787810286627046,1010547
33100,0.3717270684576538,2602231
33200,0.30746703324795455,39530
33300,0.32150937411597125,134582
33400,0.30912932422418005,97692
33500,0.3377694146121167,47326
33601,0.32924472330834276,38040
33602,0.3411454401581088,5792
33603,0.2763348669451439,378
33700,0.30311644909978547,26954
33801,0.31633866184907333,13895
33802,0.33115271636156596,10972
33803,0.3457662273422307,583046
33901,0.33342921832075273,12495
33902,0.31991999883927225,51459
34001,0.31934271679015186,49300
34002,0.3288166475252259,12600
34101,0.18529973611667191,2026
34102,0.343688647361739,177512
34104,0.3233792785149098,349
34105,0.3376893481484194,1149
34106,0.3605160685880016,2119
34107,0.3066076066558533,1622
34108,0.2748701543402915,3682
34109,0.350523980802326,15141
34110,0.29694522515826344,2634
34111,0.31658085625812127,4452
34112,0.3438557257326444,3317
34113,0.31192305361027733,7643
34114,0.3229449586796753,748
34115,0.33747006534507384,33019
34201,0.340563270752352,5372
34202,0.3379980831507449,4781
34203,0.33327478872818517,30876
34204,0.3109844175069062,2957
34301,0.3158146418371896,13045
34302,0.3072287175102736,1970
34303,0.32767628457825076,11387
34304,0.3330971640657419,13832
34305,0.3355411799601784,2949
34306,0.34370772696974494,178
34307,0.32396705776655316,2658
34308,0.3305771508025433,76608
34309,0.3103574193154456,517
34401,0.346172047369904,1986
34402,0.3333780033331844,70812
34403,0.35727079494601754,35060
34404,0.3261950662634246,14210
34501,0.29740601877679707,2716
34502,0.3210055338553479,3985
34503,0.31867032876769624,50776
34504,0.34680955971085864,68833
34601,0.28706264013825755,20638
34602,0.29506152158425947,2553
34603,0.3154851255779238,32932
34604,0.3151716454238883,338
34701,0.3354001255478097,408051
34702,0.2992197065729944,14573
34703,0.3134442339738554,55318
34801,0.3302234287728094,9495
34802,0.33844790066311337,75194
34803,0.30944276159507406,1596
34804,0.3073221334710445,726
34805,0.3251556175839072,10137
34901,0.35419737956491587,358740
34902,0.36439331864659563,3714
35001,0.3554207242764426,2163344
35002,0.3052882954197938,4906
35100,0.3394231005997461,367757
35201,0.3216051087311553,81447
35202,0.31217048997895824,7915
35300,0.31747772247719924,65396
35401,0.3059922815724966,106056
35402,0.3184536913573181,9840
35500,0.3316136294341486,43067
35600,0.31900258615681754,51520
35701,0.299807851991303,58308
35702,0.2887999000444418,14317
35801,0.34680031699619035,348273
35802,0.3040377956112904,14860
35803,0.3051907384858718,3669
35901,0.3164460747138957,92062
35902,0.332254896159854,12412
35903,0.2894495215970557,5299
35904,0.31263965206762534,8044
35905,0.31398230648185455,423
36000,0.3635668004862864,272610
36100,0.36822212842742047,1033023
36200,0.34233092828619177,70178
36301,0.33313879335762864,114336
36302,0.33045174808097394,2701
36303,0.29282916320206337,21637
36401,0.3150352075418599,17596
36402,0.3137763939133084,16248
36403,0.32345586392723363,2332
36404,0.31459897489063315,23046
36501,0.3357725624793234,35582
36502,0.32926758580842336,1022
36503,0.30830053406930363,683
36600,0.3240707806700376,74602
36700,0.3313182473083624,47174
36800,0.3229772743014621,99231
36901,0.3264439042677757,9494
36902,0.3090216334625518,48840
37000,0.2960350667556826,278421
37100,0.2983412684586707,335094
37200,0.3003540000130441,650200
37300,0.3117002580863835,123764
37400,0.3353770642494354,1337753
37500,0.3832561807398572,1332345
37601,0.3034095073246871,22656
37602,0.306825404266692,5440
37603,0.32737402106618035,5222
37604,0.32988380016397295,268290
37700,0.318069784906841,245220
37800,0.38035820429912576,2484897
37901,0.3189143981510489,1098692
37902,0.34046988740495043,601
37903,0.2990581216060319,11940
38000,0.3576611866812645,1478492
38100,0.30657387136420233,118925
38200,0.3212376933069891,316985
38300,0.34608278881944,8003869
38401,0.32539733513839836,20854
38402,0.36287614142521185,25518
38501,0.2743717553711747,40301
38502,0.2908905983786874,41598
38601,0.33858227834930676,296669
38602,0.2944635708071645,20364
38700,0.29665706905237377,62550
38801,0.3575729261995845,1071951
38802,0.2923381782873761,20459
38901,0.3219843710434137,393270
38902,0.28703730114884035,19077
39000,0.28274097482539606,110635
39100,0.29851124423982195,148463
39201,0.3123623655490834,9562
39202,0.3172178222136495,1405
39203,0.3265172444881177,86270
39204,0.3193934795746416,218
39205,0.30054613528567853,1326
39301,0.3038669211785675,4026
39302,0.32587996418199605,78171
39303,0.3192315205658721,22036
39400,0.3783097104685486,2233769
