"sic","year","emp","pay","prode","prodh","prodw","vship","matcost","vadd","invest","invent","energy","cap","equip","plant","piship","pimat","piinv","pien","dtfp5","tfp5","dtfp4","tfp4","pctnmfg"
3255,2011,4.2,206.9,3,6,122.8,1295,704.6,599.2,29.9,253.6,50.3,321.1,208.3,112.7,1.45299994945526,1.85300004482269,1.38999998569489,1.96700000762939,0.0260000005364418,1.37800002098084,0.0260000005364418,1.37699997425079,0
3255,2012,4.4,204.6,3.3,6.4,131.4,1251,561.9,693.3,44,317.1,61.9,694.5,473.6,220.8,1.54200005531311,1.86699998378754,1.442999958992,1.91499996185303,-0.243000000715256,1.08000004291534,-0.241999998688698,1.0809999704361,0
3255,2013,4.3,209,3.2,6.5,135.6,1329.7,569.8,773.7,53.1,334.2,66.1,677.5,458.4,219,1.56900000572205,1.89199995994568,1.4539999961853,1.94900000095367,0.0509999990463257,1.13699996471405,0.0520000010728836,1.13800001144409,0
3255,2014,4.1,213.1,3.1,6.1,134.8,1372.3,561.7,826.8,110.7,344.6,68.1,668.4,453.6,214.8,1.58200001716614,1.932000041008,1.46399998664856,2.06200003623962,0.0560000017285347,1.20200002193451,0.0560000017285347,1.20299994945526,0
3255,2015,4.2,224,3.2,6.4,143.2,1350.2,542.6,791.7,45.4,322.8,60.5,698.1,487.2,210.9,1.60699999332428,1.87100005149841,1.46399998664856,1.81099998950958,-0.0549999997019768,1.13800001144409,-0.0549999997019768,1.13800001144409,0
3255,2016,4,217.1,3,6.1,139,1360.3,510.1,838.1,106.2,304.1,59.6,682.8,476.5,206.3,1.62300002574921,1.87000000476837,1.46000003814697,1.69700002670288,0.0370000004768372,1.18099999427795,0.0370000004768372,1.18099999427795,0
3255,2017,4.6,247.5,3.6,7,163.5,1415.8,555.7,867.9,87.3,324.4,66.5,,,,1.63100004196167,1.932000041008,,1.86899995803833,,,,,0
3255,2018,4.7,252.1,3.6,6.9,158.6,1435.8,564,874,,335.2,65.6,,,,1.67599999904633,1.99699997901917,,1.88999998569489,,,,,0
3259,1958,13.8,56.5,11.8,22.2,44.6,134.9,38.2,95.9,6.8,19.8,14,566.4,366.7,199.7,0.340999990701675,0.153999999165535,0.293999999761581,0.179000005125999,,0.560999989509583,,0.551999986171722,0
3259,1959,13.9,62.2,11.7,23.4,48.9,156.6,43.9,107.7,6.8,18.9,14.2,561.6,356.2,205.4,0.347000002861023,0.158000007271767,0.298000007867813,0.180000007152557,0.0790000036358833,0.60699999332428,0.0769999995827675,0.596000015735626,0
3259,1960,13.4,62.2,11.6,23,49.9,149.7,45.5,108.8,11.4,23.9,14.5,539.9,332,207.9,0.354000002145767,0.159999996423721,0.300000011920929,0.187000006437302,-0.0370000004768372,0.584999978542328,-0.0379999987781048,0.574000000953674,0
3259,1961,13.1,62.9,11.3,22.9,49.8,150.1,45.2,107.4,8.2,26.4,14.7,541.3,322.3,219,0.356000006198883,0.162000000476837,0.300000011920929,0.187999993562698,0.00300000002607703,0.586000025272369,0.00400000018998981,0.575999975204468,0
3259,1962,12.2,63,10.5,20.9,49.6,153.9,47.3,104.9,7.4,24.1,15,530.4,306.7,223.7,0.358000010251999,0.165000006556511,0.301999986171722,0.189999997615814,0.0520000010728836,0.617999970912933,0.0520000010728836,0.60699999332428,0
3259,1963,12.2,62,10.4,21.1,48.7,159.7,53.4,108.4,5.8,27.4,16.5,523.7,296.2,227.5,0.363000005483627,0.164000004529953,0.305999994277954,0.188999995589256,-0.0219999998807907,0.605000019073486,-0.0219999998807907,0.592999994754791,0
3259,1964,11.3,61.3,9.4,20.5,47.7,168.7,56.9,112.7,6.6,26.6,16.3,506.8,280,226.8,0.368000000715256,0.165000006556511,0.310000002384186,0.186000004410744,0.0359999984502792,0.626999974250793,0.0350000001490116,0.615000009536743,0
3259,1965,11.8,62.1,10,20.2,49.1,167,59.7,109.3,8.5,28.7,16,508.9,280.5,228.4,0.370000004768372,0.167999997735024,0.316000014543533,0.184000000357628,-0.0179999992251396,0.61599999666214,-0.0189999993890524,0.602999985218048,0
3259,1966,10.9,58,9.2,18.6,45.3,155.7,56,102.8,5.9,31,15.7,502.8,273.5,229.3,0.374000012874603,0.172000005841255,0.324999988079071,0.184000000357628,-0.0179999992251396,0.605000019073486,-0.017000000923872,0.592999994754791,0
3259,1967,9.7,55.2,8.1,16.5,42.9,152.9,48.7,103.4,9.7,29.7,15.4,486.3,260.3,226,0.381999999284744,0.17399999499321,0.337000012397766,0.180999994277954,0.0599999986588955,0.642000019550323,0.0610000006854534,0.629999995231628,0
